Handle,Title,Vendor,Type,Published,Option1 Name,Option1 Value,Variant Price,Image Src
sonder-one,Sonder One — Over-Ear,Sonder Audio,Headphones,TRUE,Color,Midnight Black,349.00,https://placehold.co/800x800/0a0a0a/c9a876/png?text=Sonder+One+Black
sonder-one,,,,,,Champagne Gold,349.00,https://placehold.co/800x800/c9a876/0a0a0a/png?text=Sonder+One+Gold
sonder-one,,,,,,Slate Gray,349.00,https://placehold.co/800x800/333333/ffffff/png?text=Sonder+One+Gray
sonder-air,Sonder Air — On-Ear,Sonder Audio,Headphones,TRUE,Color,Midnight Black,279.00,https://placehold.co/800x800/0a0a0a/c9a876/png?text=Sonder+Air+Black
sonder-air,,,,,,Champagne Gold,279.00,https://placehold.co/800x800/c9a876/0a0a0a/png?text=Sonder+Air+Gold
sonder-air,,,,,,Slate Gray,279.00,https://placehold.co/800x800/333333/ffffff/png?text=Sonder+Air+Gray
sonder-bud,Sonder Bud — True Wireless,Sonder Audio,Earbuds,TRUE,Color,Midnight Black,199.00,https://placehold.co/800x800/0a0a0a/c9a876/png?text=Sonder+Bud+Black
sonder-bud,,,,,,Champagne Gold,199.00,https://placehold.co/800x800/c9a876/0a0a0a/png?text=Sonder+Bud+Gold
sonder-case,Sonder Case — Travel Hardshell,Sonder Audio,Accessory,TRUE,Color,Charcoal,49.00,https://placehold.co/800x800/222222/c9a876/png?text=Sonder+Case
sonder-cable,Sonder Cable — Braided Audio Cable,Sonder Audio,Accessory,TRUE,Color,Space Gray,29.00,https://placehold.co/800x800/444444/c9a876/png?text=Sonder+Cable
sonder-stand,Sonder Stand — Aluminum Headphone Stand,Sonder Audio,Accessory,TRUE,Color,Brushed Gold,59.00,https://placehold.co/800x800/c9a876/0a0a0a/png?text=Sonder+Stand+Gold
sonder-stand,,,,,,Matte Black,59.00,https://placehold.co/800x800/0a0a0a/ffffff/png?text=Sonder+Stand+Black
